記憶體	内存
硬碟	硬盘
關於	关于
抽象模組	抽象模块
存取、接取	访问，存取；访问，存取；访问，存取
存取控制	访问控制
存取控制資訊	访问控制信息
存取鍵	访问钥
存取機制	存取机构
存取模式	存取方式
存取許可	访问许可
存取權	访问权限
存取規格符	方案要求
存取性資訊	可访问性信息
存取性問題	可访问性问题
可存取的	可访问的
無障礙網頁編寫實作	
可存取性	可访问性
配件；附屬應用程式	附件
聽覺階層樣規	听觉串联样式表
動作	动作
啟動	启动
啟用工作清單	启动工作列表
啟動；活動	激活；激活
啟用文法	先用语法
使用中的頁面	活动页
活動	活动
廣告橫幅	广告条
調適	修改
調適偏好	修改选项
新增	添加
新增應用程式	添加应用程序
新增為	添加为
新增書籤	添加书签
新增驅動程式	添加设备驱动程序
新增現有項目	添加现有项目
新增資料夾	新建文件夹
新增硬體	添加硬件
新增項目	添加项目
新增專案	添加工程/项目
增益功能	后加
增益集	后加集
附加	附加
附加字元	附加字符
位址;地址	地址
通訊錄	地址簿
定址	寻（定）址
管理主控台	管理控制台
管理者	管理员
管理者帳號	管理员账号
進階	高级；先进
AIX 高級交談執行程序	先进交互式执行(AIX)[操作系统]
ALSA 高級Linux聲音架構	高级Linux声音架构
顧問團、諮詢委員會	顾问委员会
諮詢委員會	顾问委员会
售後服務	售后服务
代理者	代理
聚合	集合
警報	报警
警示	警报；警报
對齊	对齐；调准；对准
置中	居中
靠左對齊	左对齐
靠右對齊	右对齐
對齊文字	对齐文本
貼齊格線	对齐到网格
所有檔案	所有文件
所有類型	所有类型
分配器	分配
字母	字母
文數字	文字数字的
替代資訊	代替信息
最上層顯示	总在最前
歧義	歧义
美國國家標準學會	美国国家标准化组织
美國標準資訊交換碼	美国信息交换标准码
類比	模拟
源始，上代	祖先
鏈結錨	锚点；锚接
輔助區塊	辅助区域
動畫	动画
註解	注解
匿名	匿名
匿名登入	匿名登录
前提	先行
外觀	外观
附加	追加
應用程式	应用程序
應用程式個人化	应用程序个人化
應用程式介面	应用编程接口/界面
弧	弧
架構	机构
歸檔	归档文件
歸檔管理者	归档管理
引數	自变量，变元
方向鍵；箭頭鍵	方向键
Asianux 中日韓作業平台	Asianux
組譯器	编译器
判定	主张
指派	指派
輔助技術	辅助技术
非同步	异步
非同步交換	异步交换
基元	原子
附加	附接
附加檔案;夾檔	附加文件
屬性	属性
屬性名稱	属性名称
屬性規格	属性要求
屬性值	属性值
屬性表列宣告	属性列表声明
音訊	音频
音訊描述	音频描述
音軌	音频轨迹
僅呈現音訊	仅呈现音频
稽核	审核（计）
稽核防護	审核防护
聽覺描述	听觉描述
認證；鑑別	鉴别
作者	作者
創作	创作
機構	权威；机构
授權	授权；授权
自動；自動的	自动
自動語音辨識	自动语音识别
自動轉返	自动回滚
軸	轴
後端	厚端
反向鏈接	反向连接
骨幹	骨干
背景	背景
背景影像干擾	背景图像冲突
背景程序	背景程序
退格字元	退格字符
回溯	回归
備份	备份
反向	向后
反向相容	向后兼容
長條圖	条状图
條碼閱讀機	条码阅读机
基礎;基底	基础
基礎本文	基础文本
基線	基线
批次；整批	批
鮑率	波特率
嗶聲	嘟嘟声
BSD 柏克萊軟體發行版	美国加州大学柏克利分校软件发行
Beta版	Beta版
二進位	二进制
二元運算子	二进制运算符
繫結器	连接器
繫結	连接
繫結表達式	连接表达式
位元	位
色深位元	位深
點陣(圖)	位图
位元遮罩	位掩码
位元速率;位元率	位速率
黑箱	黑盒
黑名單	黑名单
區塊；訊息塊	块
方塊圖	方块
書籤	书签
開機；啟動	启动
開機片	启动盘
啟動載入物件	启动载入对象
開機;啟動	自动；开机
注音符號	注音符号
bot病毒	bot病毒
邊框	限界框
括號	括号
盲人點字法	盲文点字
中斷	中断
中斷點	断点
橋接器	桥
簡潔	简介
公事包	公文包
亮度	亮度
上移一層	上移一层
提到最上層	移到最上层
寬頻	宽频
瀏覽器	浏览器
BSD小惡魔	
BSD許可證	BSD许可
臭蟲	错误；臭虫
臭蟲追蹤	错误跟踪
建立	建立
建立器	建立器
內建	内建
忙碌;忙碌中	忙碌
按鈕	按钮
位元組	字节
位元組順序	字节序
機櫃	机柜
快取	高速缓存
可快取	可快取的
小算盤;計算器	计算器
行事曆	日历
取消鍵	取消键
候選推薦	候选推荐
能力；容量	能力；容量
標題；字幕	标题
擷取	抓取
卡	卡
CSS階層式樣表單	CSS串联样式表
大小寫相關	大小写相关
光碟燒錄機	CD刻录
光碟	光盘
光碟機	光驱
可讀寫光碟機	可读写光驱
格；單元	格
水平置中	水平居中
垂直置中	垂直居中
中央處理單元	中央处理器
驗證	认证
通道	通道
字元;字符	字符
字元資料	字符数据
字元編碼	字符编码
字元模式	字符模式
字元參考	字符参考
字元集	字符集
特殊字元	特殊字符
核取方塊	选取框
選取標記	选取标记
子	子
子程序	子程序
流程設計	
Chorous作業系統	Chorous操作系统
色度	色度
區塊	块
類別	类
類別定義	类定义
類別描述	类描述
類別函式庫	类库
類別名稱	类名
產品類別 	产品类别
清除	清除
鍵擊流	击键流
用戶;客戶端	客户端
客戶／伺服器	客户服务器(CS)
剪輯	剪切
剪貼簿	剪切板
結束;關閉	关闭
關閉所有資料夾	关闭所有文件夹
碼；編碼	码；编码
