//简体繁体差异词语， 不要在第一行增加内容，留给注释用，3846行开始的是从另一个网站下载的，可能有点问题。
//内容格式为：简体+Tab+繁体
双页	兩頁
A 驱	A 磁碟機
异常运行	異常執行
绝对地址	絕對位址
抽象基底类	抽象基底類別
抽象类	抽象類別
抽象数据类型	抽象資料類型
抽象宣告符	抽象宣告子
加速键映射	加速鍵對映
对应键资源	加速鍵資源
对应键镜像表	加速鍵對應表
访问控制	存取控制
访问时间	存取日期
访问函式	存取函式
访问掩码	存取遮罩
访问模式	存取模式
访问权限	存取許可
访问权限	存取許可
访问权限	存取權限
访问权限	存取權限
访问规范	存取規範
访问时间	存取時間
授权访问	授與存取
访问	存取
访问控件 (ACE)	存取控制項 (ACE)
访问范围定义域	存取範圍定義域
可访问性	可存取性
访问子函式	存取子函式
访问子类别	存取子類別
附件	附屬應用程式
根据文件	根據檔案
捕获打印机端口	獲取印表機連接埠
动作供应商组件	動作提供者元件
操作型查询	動作型查詢
操作表	動作表
激活对象	活化物件
激活要求	活化要求
激活任务列表	活化工作清單
激活这个窗口	活化這個視窗
激活金钥	活化金鑰
激活	活化
激活符	活化子
主动式文档	主動式文件
主动式 HTML 文档	主動式 HTML 文件
活动窗口的标题列文本	作用中視窗的標題列文字
活动窗口的标题列	作用中視窗的標題列
作用断开点	作用中斷點
作用单元格	作用儲存格
活动组件	工作元件
主动式内容控制句柄	主動式內容句柄
主动式文件应用程序	主動式文件應用程式
主动式文件伺服程序	主動式文件伺服程式
主动式文件支持	主動式文件支援
活动文档	作用中文件
作用中屏幕缓冲区	作用中螢幕緩衝區
活动状态	作用狀態
活动窗口的标题颜色	作用中視窗的標題色彩
活动窗口	作用中視窗
活动	作用中
实质参量	實質引數
实质参数列表	實質參數清單
广告标志	廣告橫幅
适配器	介面卡
添加现有项目	加入現有項目
添加现有项目	加入現有專案
添加文件夹	加入資料夾
添加项目	加入項目
添加为	加入為
添加驱动程序	加入驅動程式
添加新项目	加入新項目
添加新的项目	加入新的專案
添加新的方案项目	加入新的方案項目
添加新硬件	加入新的硬體
添加新的	加入新的
增添个人信箱	新增個人信箱
添加至输出	加入到輸出
添加至解决方案	加入到解決方案
加载功能	增益功能
加载项	增益集
增添/移除	新增/移除
增添/移除程序	新增/移除程式
添加/移除	新增/移除
加法运算符	加法運算子
附加的	額外
加法类运算符	加法類運算子
地址簿	通訊錄
地址冲突	位址衝突
地址模式	位址模式
地址限制	位址限制
编址空间	地址空間
地址空间	位址空間
地址	位址
编址	定址
取地址运算符	取址運算子
编址模式	定址模式
编址	定址
调整列宽	調整欄位
系统管理人帐户	系統管理人帳號
高级	進階
跟踪服务	售後服務
代理程序	代理程式
汇总数据区域	彙總資料欄位
汇总对象	彙總物件
警报	警示
警报框	警示方塊
算法	演算法
居中对齐	置中對齊
左对齐	靠左對齊
右对齐	靠右對齊
均匀排列	貼齊格線
全部文件	所有檔案
全部类型	所有類型
已被删除	已經移除
替代文本	替代文字
模棱两可	模稜兩可
模棱两可的表达式	模稜兩可的運算式
模拟	類比
模拟数字	類比數位
动画光标	動畫游標
动画控件	動畫控制項
附注	附註
匿名登录	匿名登入
匿名类	匿名類別
ANSI 字符串	ANSI 字串
应答方式	應答模式
开始应答	立即應答
应答超时	應答逾時
应用程序工作区	應用程式工作區
应用程序类	應用程式類別
应用程序框架	應用程式框架
应用程序队列	應用程式佇列
应用程序逐步解说	應用程式逐步解說
应用程序	應用程式
压缩文件	壓縮檔案
确实要更改	確定要變更
确实要	確定要
参量常量	引數常數
参量宏	引數巨集
参量类型	引數類型
参量类型	引數類型
参量	引數
排列数据表	排列資料表
排列图标	排列圖示
排列选定范围	排列選取範圍
数组共异变量	陣列共異變數
数组指标	陣列指標
数组类型	陣列類型
数组组织	矩陣式組織
数组	陣列
箭头键	方向鍵
人工智能	人工智慧
艺术家名	演出者名稱
ASCII 字符	ASCII 字元
汇编语言	組合語言
分配运算符	指派運算子
分配运算符	指派操作子
分配陈述式	指派陳述式
分配	指派
相关扩展名	關聯的副檔名
非同步调用	非同步呼叫
音频压缩器	音訊壓縮器
音频文件	音訊
音频格式	音訊格式
音频	音訊
音频视频交错 (AVI)	音訊視訊交錯 (AVI)
证实	驗證
已证实	已驗證
正在证实	正在驗證
证实方案	驗證方案
证实	驗證
自动显示数据提示	自動顯示資料提示
自动配置	自動組態
自动对象	自動物件
自动保存类	自動儲存類別
自动变量	自動變數
自动分配	自動指定
自动连接	自動連線
自动运行	自動執行
自动撤销	自動復原
辅助进制旗标	輔助進位旗標
辅助文件	輔助檔案
可用的加载项	可用的增益集
可用按钮	可用的按鈕
均值	平均值
B 驱	B 磁碟機
网络骨干	網路骨幹
背景颜色	背景色彩
后备窗口	後備視窗
备份文件	備份檔案
回溯兼容性	回溯相容性
带宽	頻寬
条状图	長條圖
条码读出器	條碼閱讀機
基地址	基底位址
基类	基礎類別
基线	基準線
基本配置	基本組態
基本对象事件	基本物件事件
批量采集	批次擷取
批文件	批次檔案
波特	鮑率
最好质量	最好品質
较好质量	較好品質
二元运算符	二元運算子
二分查找	二分搜尋法
二叉树	二元樹
二进制	二進位
绑定内容	繫結內容
绑定器	繫結器
绑定	繫結
位区域	位元欄位
位	位元
位运算符	位元運算子
位图文件	點陣圖檔案
位图资源	點陣圖資源
位图	點陣圖
位掩码	位元遮罩
比特率	位元率
逐位复制	逐位元複製
位运算符	位元運算子
逐位	逐位元
列块	區塊
登机牌	登機證
书签文字	書籤文字
书签	書籤
布尔值	布林值
启动载入程序	啟動載入程式
启动载入器	啟動載入器
边界	邊線
系结区域	繫結欄位
有括号的表达式	有括號的運算式
断开用户连接	中斷使用者連線
断开点文字	中斷點文字
断开点	中斷點
网桥	橋接器
公文包	公事包
宽带	寬頻
广播地址	廣播位址
断开的链接	中斷的連結
网桥路由器	橋接路由器
浏览方式	瀏覽方式
浏览按钮组	瀏覽按鈕組
浏览信息文件	瀏覽資訊檔案
浏览外观	瀏覽外觀
浏览字体	瀏覽字型
浏览器	瀏覽器
协同控件	協同控制項
构建信息	組建資訊
构建配置	組建組態
构建标签	組建標籤
构建	組建
内置数据类型	內建資料類型
内置	內建
生成器	產生器
建置列块	建置區塊
内置菜单	內建功能表
内置按钮	內建按鈕
大量复制工具程序	大量複製工具程式
大量数据录区域交换	大量資料錄欄位交換
大量数据录区域交换	大量資料錄欄位交換
大量数据列采集	大量資料列擷取
刻录	燒錄
总线	匯流排
商务对象	商務物件
正忙	忙碌中
按钮常量	按鈕常數
按钮控件	按鈕控制項
按附件	依附件
按附件	依附件
按城市	依城市
按公司	依公司
按日期	依日期
按描述	依描述
按讨论	依討論
按驱动器名	依磁碟機代號
按电邮	依電郵
按旗标	依旗標
按文件夹	依資料夾
按可用空间	依可用空間
按位置	依位置
按信件	依信件
邮件程序	信件軟體
按名称	依名稱
按昵称	依暱稱
按源位置	依原始位置
按优先	依優先
按特性	依特性
按收信	依收信
按寄信人	依寄信人
按发信人	依發信人
按寄信	依寄信
按服务器	依伺服器
按服务	依服務
按大小	依大小
按从小到大	依由小而大
按状态	依狀態
按主题	依主題
打的	搭計程車
按电话	依電話
按类型	依類型
按未读	依未讀
字节数组	位元組陣列
字节	位元組
C 调用惯例	C 呼叫慣例
C 连系规范	C 連繫規範
数据包项目节点	封包專案節點
数据包文件生成器	封包檔案產生器
数据包	封包
缓存	快取
缓存区	快取區
计算器	小算盤
调用栈	呼叫堆疊
调用树状图	呼叫樹狀圖
调用级别介面	呼叫層級介面
调用运算符	呼叫運算子
调用返回	呼叫返回
回调区域	回呼欄位
回调函式 	回呼函式
调用惯例 	呼叫慣例
调用外部程序	呼叫外部程序
调用顺序 	呼叫順序
摄像机	攝影機
候选函数	候選函式
不能访问	無法存取
不能打开	無法開啟
捕捉文件	擷取檔案
已采集视频	已擷取視訊
插入号 	插入號
回车符 	換行字元
回车符	換行字元
复位换行组 (CRLF)	復位換行組 (CRLF)
层叠式菜单	層疊式功能表
层叠窗口	重疊顯示視窗
层叠窗口	重疊顯示
串联 	串聯
重叠窗口	重疊視窗
全字匹配	全字拼寫須符合
实例	案例
盒式录音带	卡式錄音帶
转型 	轉型
Catch 列块	Catch 區塊
CD 音频特性	CD 音訊特性
CD 音频	CD 音訊
光驱	光碟機
CD-ROM 压制	CD-ROM 壓製
刻录机	燒錄器
光盘	光碟
单元格	儲存格
水平居中	水平置中
屏幕中央	螢幕中央
垂直居中	垂直置中
居中	置中對齊
更改图标	變更圖示
更改国别设置	變更國別設定
更改端口	變更連接埠
更改区域设置	變更區域設定
更改方案	變更方案
更改脚本	變更腳本
更改设置数值	變更設定值
改变窗口位置	變更視窗的位置
改变窗口大小	變更視窗的大小
字符	字元
字符码	字元碼
字符常量	字元常數
驱动器的字母代号	磁碟機的字母代號
字符索引 	字元索引
字符常值 	字元常值
字符位移 	字元位移
字符集 	字元集
字符	字元
文字模式应用程序	文字模式應用程式
字符集	字集
字符	字元
复选框	核取方塊
检查条件约束 	檢查條件約束
勾选标志	勾選標記
验证用户名	檢查使用者名稱
复选框	核取方塊
已选定	已選取
总和检查码 	總和檢查碼
子程序代码	子程式碼
子控件	子控制項
子窗口	子視窗
汉字	中文字
芯片	晶片
选择类	選擇類別
链接选择	選擇連線
套索 	套索
列块包装函式 	區塊包裝函式
列块 	區塊
CL 环境变量	CL 環境變數
类标识项 (CLSID)	類別識別項 (CLSID)
类模块	類別模組
类查看	類別檢視
类本体	類別本體
类浏览器	類別瀏覽器
类生成器工具	類別產生器工具
类定义	類別定義
类声明	類別宣告
类继承列表	類別衍化清單
类工厂	類別工廠
类文件	類別檔案
类标头	類別標頭
类阶层	類別階層
类标识项 	類別識別項
类初始设置式 	類別初始設定式
类实例	類別實體
类库 	類別庫
类方法程序 	類別方法程序
类范围 	類別範圍
类模板偏特化	類別模板部份特化
类模板特化	類別模板特化
类模板	類別模板
类变量 	類別變數
类 	類別
初始状态的计算机 	初始狀態的電腦
客户端应用程序	客戶端應用程式
客户端批量数据指标库	客戶端批次資料指標程式庫
客户端验证	客戶端認證
客户端计算机	客戶端電腦
客户端项	客戶端項目
客户端对象	客戶端物件
客户端站点	客戶端站台
客户端/服务器	客戶端/伺服器
碎片文件	素材檔案
裁剪路径 	裁剪路徑
剪贴板文件格式	剪貼簿檔案格式
剪贴板拥有人 	剪貼簿擁有人
剪贴板查看器	剪貼簿檢視器
剪贴板	剪貼簿
剪贴板查看器链 	剪貼簿檢視器鏈
裁剪精确值 	裁剪精確值
裁剪区域 	裁剪區域
裁剪 	裁剪
克隆	仿製
克隆	仿製品
临近工作区 	臨近工作區
关闭当前文档	關閉現用的文件
结尾标志	結尾標記
CLS 兼容	CLS 相容
丛集索引 	叢集索引
代码管理器资源管理器	代碼管理器檔案總管
代码管理器查看器	代碼管理器檢視器
代码撰写设置数值	代碼撰寫設定值
代码查看	代碼檢視
代码查看器	代碼檢視器
代码窗口文本	代碼視窗文字
代码窗口	代碼視窗
代码注解	代註解
代码组件	代碼元件
代码库	代碼程式庫
代码管理对象	代碼管理物件
代码页	字碼頁
代码后置的文件	代碼後置的檔案
强制型转 	強制型轉
摺叠项目 	摺疊項目
定序 	定序
集合类 	集合類別
集合对象 	集合物件
集合对象	集合物件
颜色常量	色彩常數
颜色渐层	色彩漸層
颜色方案	色彩方案
颜色	色彩
数据列标题	資料欄標題
数据列	資料欄
区域	欄位
组合情景	組合場景
组合框	組合方塊
组合框控件	組合方塊控制項
命令行的参量	命令行的引數
命令行参量的选项	命令行引數的選項
命令文件	命令檔案
命令标识项	命令識別項
命令消息	命令訊息
备注文字	註解文字
备注分隔符号	註解分隔符號
注释	註解
通用型对话框	通用型對話方塊
通用对象文件格式 (COFF)	通用物件檔案格式 (COFF)
通用控件	通用控制項
通用数据录	通用資料錄
